labcode,bias_mean_2023,bias_variance_2023,bias_std_2023,n_projects_2023,total_participation_2023,rank_2023,is_special,special_type,x
195,5.65,23.579755555555558,4.8558990470926755,9,9,68,False,normal,67
12,5.651999999999999,25.422682666666674,5.042091100591764,15,15,69,False,normal,68
257,5.6675,41.84374375,6.468674033370363,8,8,70,False,normal,69
94,5.7042857142857155,6.9417959183673466,2.6347288130597706,7,7,71,False,normal,70
107,5.7059999999999995,28.699330666666672,5.357175624026776,15,15,72,False,normal,71
34,5.809999999999999,20.300590476190475,4.505617657568213,21,21,73,False,normal,72
23,5.946250000000001,25.6934234375,5.068868062743397,16,16,74,False,normal,73
265,5.98,26.7665,5.173635085701348,4,4,75,False,normal,74
37,6.001818181818183,21.358578512396694,4.621534216296218,11,11,76,False,normal,75
207,6.015714285714286,24.593424489795918,4.959175787345708,7,7,77,False,normal,76
178,6.061249999999999,16.0074109375,4.000926259942815,16,16,78,False,normal,77
82,6.069000000000001,20.267008999999995,4.501889492202134,10,10,79,False,normal,78
203,6.16125,15.9381359375,3.9922595027753394,8,8,80,False,normal,79
52,6.215714285714285,20.646110204081634,4.543799093719003,14,14,81,False,normal,80
19,6.2844444444444445,14.693302469135801,3.8331843771381258,18,18,82,False,normal,81
40,6.398,28.127802666666664,5.3035650902639695,15,15,83,False,normal,82
193,6.475555555555555,14.606935802469135,3.8219021183789015,9,9,84,False,normal,83
106,6.4875,53.495168749999976,7.314039154256694,12,12,85,False,normal,84
337,6.525714285714287,7.444310204081632,2.7284263237407806,7,7,86,False,normal,85
314,6.574166666666667,16.53024097222222,4.0657399046449365,12,12,87,False,normal,86
48,6.613333333333333,42.50235555555556,6.5193830655634555,12,12,88,False,normal,87
25,6.635555555555555,21.89409135802469,4.679112240374737,18,18,89,False,normal,88
158,6.6655,59.00965475,7.6817741928541485,20,20,90,False,normal,89
262,6.713076923076924,69.45431360946746,8.333925462197719,13,13,91,False,normal,90
218,6.725238095238095,28.520501133786848,5.34045888794089,21,21,92,False,normal,91
234,6.802000000000001,71.355276,8.447205218295576,10,10,93,False,normal,92
245,6.854166666666667,53.04461597222221,7.283173482227525,24,24,94,False,normal,93
133,6.96578947368421,16.54726648199446,4.0678331433325114,19,19,95,False,normal,94
29,7.4255555555555555,51.75061358024691,7.193789931617889,18,18,96,False,normal,95
228,7.626,210.003024,14.491481083726399,15,15,97,False,normal,96
8,7.710000000000001,100.91820000000001,10.045805094665136,8,8,98,False,normal,97
174,7.716315789473684,49.427191689750686,7.0304474743611225,19,19,99,False,normal,98
200,7.78923076923077,82.98866863905324,9.109811668692895,13,13,100,False,normal,99
77,7.821666666666666,87.29763055555559,9.343320103451212,12,12,101,False,normal,100
161,7.902857142857142,36.169134693877545,6.01407804188452,14,14,102,False,normal,101
296,7.907500000000001,48.03261875,6.930556885994083,16,16,103,False,normal,102
331,7.931428571428571,11.310326530612242,3.363082890832791,7,7,104,False,normal,103
272,7.954705882352941,49.61415432525952,7.043731562549748,17,17,105,False,normal,104
86,8.055833333333332,59.87742430555554,7.7380504201998805,12,12,106,False,normal,105
204,8.110000000000001,62.961490909090905,7.934827717669169,11,11,107,False,normal,106
90,8.11235294117647,216.674276816609,14.71985994555006,17,17,108,False,normal,107
125,8.145999999999999,116.54858399999998,10.79576694820706,20,20,109,False,normal,108
292,8.152857142857142,25.774448979591842,5.076854240530433,7,7,110,False,normal,109
14,8.154117647058822,30.85374186851211,5.5546144662354475,17,17,111,False,normal,110
271,8.185294117647059,46.18813079584775,6.796185017776351,17,17,112,False,normal,111
293,8.18923076923077,22.052053254437865,4.695961377017262,13,13,113,False,normal,112
1,8.196666666666665,38.48013333333333,6.203235714797023,18,18,114,False,normal,113
280,8.43,0.0,0.0,1,1,115,False,normal,114
279,8.443809523809524,36.70138548752835,6.058166842166725,21,21,116,False,normal,115
26,8.477272727272727,107.49061983471074,10.367768315057525,11,11,117,False,normal,116
260,8.605625,245.25383710937504,15.660582272360598,16,16,118,False,normal,117
270,8.712307692307693,56.6933100591716,7.529496002998581,26,26,119,False,normal,118
21,8.829444444444443,91.09040524691358,9.5441293603405,18,18,120,False,normal,119
199,9.084166666666667,43.55152430555555,6.599357870698903,24,24,121,False,normal,120
171,9.208749999999998,63.86161093749999,7.991346002864598,16,16,122,False,normal,121
264,9.259333333333334,247.15097955555558,15.721036211253875,15,15,123,False,normal,122
67,9.296666666666667,202.6129888888889,14.234218942003418,24,24,124,False,normal,123
235,9.299047619047618,134.42478004535147,11.59417008868472,21,21,125,False,normal,124
115,9.365555555555554,198.4532913580247,14.087345078403692,9,9,126,False,normal,125
232,9.477058823529411,112.30892664359862,10.597590605585717,17,17,127,False,normal,126
190,9.47875,65.2663734375,8.078760637467854,16,16,128,False,normal,127
30,9.509444444444446,133.91652746913581,11.572230876937075,18,18,129,False,normal,128
112,9.582692307692309,117.87891198224852,10.85720553283618,26,26,130,False,normal,129
192,9.705,31.482625000000002,5.610937978627103,6,6,131,False,normal,130
298,9.908421052631578,300.89780277008305,17.34640604765388,19,19,132,False,normal,131
317,9.915000000000001,34.68808214285715,5.88965891566372,14,14,133,False,normal,132
73,9.915714285714285,152.7397816326531,12.3587936965002,14,14,134,False,normal,133
266,9.95,62.03443333333333,7.876194089364058,6,6,135,False,normal,134
334,10.100588235294117,80.222123183391,8.956680366262436,17,17,136,False,normal,135
155,10.30409090909091,321.88105144628094,17.94104376691281,22,22,137,False,normal,136
221,10.368181818181817,46.088760330578516,6.788870328013234,11,11,138,False,normal,137
246,10.404166666666667,43.86432430555555,6.623014744476683,12,12,139,False,normal,138
306,10.645714285714288,89.35709591836735,9.452888231560095,14,14,140,False,normal,139
28,10.688666666666668,143.91063822222216,11.996276014756504,15,15,141,False,normal,140
283,10.70111111111111,52.80192098765432,7.266493032244256,9,9,142,False,normal,141
53,10.784444444444444,50.332491358024704,7.094539545173084,9,9,143,False,normal,142
183,10.969,87.91759899999998,9.376438502971157,20,20,144,False,normal,143
135,10.987083333333333,67.88566232638888,8.239275594758855,24,24,145,False,normal,144
91,11.13,220.63665,14.853842937098804,4,4,146,False,normal,145
288,11.194285714285712,85.0421387755102,9.221829470094868,7,7,147,False,normal,146
309,11.368181818181819,101.29090578512397,10.064338318296139,11,11,148,False,normal,147
47,11.454210526315789,485.27554016620496,22.028970474495736,19,19,149,False,normal,148
342,11.6,335.0509882352941,18.30439805716905,17,17,150,False,normal,149
144,11.665,67.89219772727273,8.239672185668113,22,22,151,False,normal,150
159,11.725,52.407365000000006,7.239293128476012,10,10,152,False,normal,151
54,11.755769230769232,299.16016286982256,17.296247074721805,26,26,153,False,normal,152
123,11.76235294117647,42.37971211072664,6.509970208128962,17,17,154,False,normal,153
69,11.813749999999999,130.40687343749997,11.41958289244839,24,24,155,False,normal,154
162,12.030833333333334,56.812124305555564,7.537381793803175,12,12,156,False,normal,155
166,12.075714285714284,176.23092925170067,13.275199781988242,21,21,157,False,normal,156
72,12.14217391304348,110.49286049149339,10.511558423539936,23,23,158,False,normal,157
136,12.201666666666666,343.86354722222217,18.54355810577415,6,6,159,False,normal,158
79,12.257727272727271,748.9840357438018,27.36757270464083,22,22,160,False,normal,159
277,12.295,303.2321138888888,17.413561206395688,18,18,161,False,normal,160
45,12.418333333333331,122.70724722222224,11.077330329200363,6,6,162,False,normal,161
170,12.4435,68.77726275,8.293205818620445,20,20,163,False,normal,162
152,12.54,201.67462499999993,14.201219137806442,8,8,164,False,normal,163
